no,exp_id,condition,item_type,item_id,stimulus,question,correct_answer
152,1b_2a,d,14,1b_2a-14,The farmer disclosed why the passionate rancher that the boring businessman judged unnecessarily and intensely studied in college with the professors.,Did the rancher study in college?,f
153,1b_2a,a,15,1b_2a-15,The artist disclosed who her rigid parents that her infamous boyfriend met briefly and awkwardly traveled to Europe with some friends.,Did her parents travel to Asia?,j
154,1b_2a,b,15,1b_2a-15,The artist disclosed how her rigid parents that her infamous boyfriend met briefly and awkwardly traveled to Europe with some friends.,Did her parents travel to Asia?,j
155,1b_2a,c,15,1b_2a-15,The artist disclosed that her rigid parents that her infamous boyfriend met briefly and awkwardly traveled to Europe with some friends.,Did her parents travel to Asia?,j
156,1b_2a,d,15,1b_2a-15,The artist disclosed why her rigid parents that her infamous boyfriend met briefly and awkwardly traveled to Europe with some friends.,Did her parents travel to Asia?,j
157,1b_2a,a,16,1b_2a-16,The father considered who the naive babysitter that the spunky children loved unexpectedly and benevolently handed the toys to the grandma.,Did the babysitter hand toys to the grandma?,f
158,1b_2a,b,16,1b_2a-16,The father considered how the naive babysitter that the spunky children loved unexpectedly and benevolently handed the toys to the grandma.,Did the babysitter hand toys to the grandma?,f
159,1b_2a,c,16,1b_2a-16,The father considered that the naive babysitter that the spunky children loved unexpectedly and benevolently handed the toys to the grandma.,Did the babysitter hand toys to the grandma?,f
160,1b_2a,d,16,1b_2a-16,The father considered why the naive babysitter that the spunky children loved unexpectedly and benevolently handed the toys to the grandma.,Did the babysitter hand toys to the grandma?,f
161,1b_2a,a,17,1b_2a-17,The rapper considered who the sketchy promoter that the famous label suggested hastily and obliviously discussed the album with a stranger.,Did the promoter discuss a film with a stranger?,j
162,1b_2a,b,17,1b_2a-17,The rapper considered how the sketchy promoter that the famous label suggested hastily and obliviously discussed the album with a stranger.,Did the promoter discuss a film with a stranger?,j
163,1b_2a,c,17,1b_2a-17,The rapper considered that the sketchy promoter that the famous label suggested hastily and obliviously discussed the album with a stranger.,Did the promoter discuss a film with a stranger?,j
164,1b_2a,d,17,1b_2a-17,The rapper considered why the sketchy promoter that the famous label suggested hastily and obliviously discussed the album with a stranger.,Did the promoter discuss a film with a stranger?,j
165,1b_2a,a,18,1b_2a-18,The lawyer considered who the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.,Did the client influence the case for the opposition?,f
166,1b_2a,b,18,1b_2a-18,The lawyer considered how the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.,Did the client influence the case for the opposition?,f
167,1b_2a,c,18,1b_2a-18,The lawyer considered that the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.,Did the client influence the case for the opposition?,f
168,1b_2a,d,18,1b_2a-18,The lawyer considered why the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.,Did the client influence the case for the opposition?,f
169,1b_2a,a,19,1b_2a-19,The dean heard who the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.,Did the committee assign a responsibility to the student?,f
170,1b_2a,b,19,1b_2a-19,The dean heard how the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.,Did the committee assign a responsibility to the student?,f
171,1b_2a,c,19,1b_2a-19,The dean heard that the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.,Did the committee assign a responsibility to the student?,f
172,1b_2a,d,19,1b_2a-19,The dean heard why the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.,Did the committee assign a responsibility to the student?,f
173,1b_2a,a,20,1b_2a-20,The barista heard who the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.,Did the patron discuss the election with a doctor?,j
174,1b_2a,b,20,1b_2a-20,The barista heard how the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.,Did the patron discuss the election with a doctor?,j
175,1b_2a,c,20,1b_2a-20,The barista heard that the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.,Did the patron discuss the election with a doctor?,j
176,1b_2a,d,20,1b_2a-20,The barista heard why the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.,Did the patron discuss the election with a doctor?,j
177,1b_2a,a,21,1b_2a-21,The couple heard who the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.,Did the actress argue her opinion to her director?,f
178,1b_2a,b,21,1b_2a-21,The couple heard how the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.,Did the actress argue her opinion to her director?,f
179,1b_2a,c,21,1b_2a-21,The couple heard that the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.,Did the actress argue her opinion to her director?,f
180,1b_2a,d,21,1b_2a-21,The couple heard why the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.,Did the actress argue her opinion to her director?,f
181,1b_2a,a,22,1b_2a-22,The analyst confessed who the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.,Did the mathematician entrust data to the stranger?,f
182,1b_2a,b,22,1b_2a-22,The analyst confessed how the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.,Did the mathematician entrust data to the stranger?,f
183,1b_2a,c,22,1b_2a-22,The analyst confessed that the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.,Did the mathematician entrust data to the stranger?,f
184,1b_2a,d,22,1b_2a-22,The analyst confessed why the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.,Did the mathematician entrust data to the stranger?,f
185,1b_2a,a,23,1b_2a-23,The researcher confessed who the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.,Did the student copy answers from the internet?,f
186,1b_2a,b,23,1b_2a-23,The researcher confessed how the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.,Did the student copy answers from the internet?,f
187,1b_2a,c,23,1b_2a-23,The researcher confessed that the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.,Did the student copy answers from the internet?,f
188,1b_2a,d,23,1b_2a-23,The researcher confessed why the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.,Did the student copy answers from the internet?,f
189,1b_2a,a,24,1b_2a-24,The traveler confessed who the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.,Did the camper bring food for the animals?,f
190,1b_2a,b,24,1b_2a-24,The traveler confessed how the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.,Did the camper bring food for the animals?,f
191,1b_2a,c,24,1b_2a-24,The traveler confessed that the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.,Did the camper bring food for the animals?,f
192,1b_2a,d,24,1b_2a-24,The traveler confessed why the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.,Did the camper bring food for the animals?,f
F1,filler,filler,filler,filler-1,The librarian sorted the returned books into neat piles on the cart.,Did the librarian organize some books?,f
F2,filler,filler,filler,filler-2,The young chef prepared a three-course meal for the dinner guests.,Did the chef cook food for guests?,f
F3,filler,filler,filler,filler-3,The electrician repaired the faulty wiring in the old apartment building.,Did the electrician fix something in a new house?,j
F4,filler,filler,filler,filler-4,The journalist submitted her article to the editor before the deadline.,Did the journalist miss her deadline?,j
F5,filler,filler,filler,filler-5,The gardener planted roses along the stone path near the entrance.,Did the gardener plant flowers?,f
F6,filler,filler,filler,filler-6,The professor handed back the graded exams to the students after class.,Did the professor return some assignments?,f
F7,filler,filler,filler,filler-7,The tourist photographed the ancient ruins at sunrise.,Did the tourist take photos at night?,j
F8,filler,filler,filler,filler-8,The nurse administered the medication to the patient every six hours.,Did the nurse give the patient medicine?,f
F9,filler,filler,filler,filler-9,The carpenter built a wooden bookshelf for the living room.,Did the carpenter make a piece of furniture?,f
F10,filler,filler,filler,filler-10,The coach trained the team every morning before school started.,Did the coach train the team in the evenings?,j
F11,filler,filler,filler,filler-11,The accountant reviewed the financial records for the previous quarter.,Did the accountant look at financial documents?,f
F12,filler,filler,filler,filler-12,The delivery driver dropped off the package at the front door.,Did the delivery driver leave the package inside the house?,j
F13,filler,filler,filler,filler-13,The musician practiced the violin for three hours every afternoon.,Did the musician play an instrument?,f
F14,filler,filler,filler,filler-14,The scientist recorded the temperature of the lake every day for a month.,Did the scientist collect data?,f
F15,filler,filler,filler,filler-15,The plumber fixed the leaking pipe under the kitchen sink.,Did the plumber repair something in the bathroom?,j
F16,filler,filler,filler,filler-16,The athlete completed the marathon in just under four hours.,Did the athlete finish the race?,f
F17,filler,filler,filler,filler-17,The teacher assigned a short essay on the causes of the war.,Did the teacher give students a writing task?,f
F18,filler,filler,filler,filler-18,The pilot landed the plane safely despite the heavy rain.,Did the pilot crash the plane?,j
F19,filler,filler,filler,filler-19,The salesperson convinced the customer to buy the extended warranty.,Did the salesperson persuade the customer?,f
F20,filler,filler,filler,filler-20,The student borrowed three books from the university library.,Did the student buy books from the library?,j
F21,filler,filler,filler,filler-21,The architect designed a new community center for the town.,Did the architect design a building?,f
F22,filler,filler,filler,filler-22,The waiter spilled coffee on the tablecloth during the lunch rush.,Did the waiter spill something?,f
F23,filler,filler,filler,filler-23,The detective interviewed all the witnesses before writing her report.,Did the detective speak to witnesses?,f
F24,filler,filler,filler,filler-24,The farmer harvested the wheat before the storm arrived.,Did the farmer harvest crops?,f
F25,filler,filler,filler,filler-25,The dog chased the squirrel across the backyard and into the bushes.,Did the squirrel chase the dog?,j
F26,filler,filler,filler,filler-26,The engineer tested the new software for bugs before the release.,Did the engineer test the software?,f
F27,filler,filler,filler,filler-27,The banker approved the loan application after reviewing the documents.,Did the banker reject the loan?,j
F28,filler,filler,filler,filler-28,The hiker reached the summit just before sunset.,Did the hiker reach the top of the mountain?,f
F29,filler,filler,filler,filler-29,The painter covered the walls with two coats of white paint.,Did the painter use blue paint?,j
F30,filler,filler,filler,filler-30,The director rehearsed the actors for six weeks before opening night.,Did the director prepare the cast for the show?,f
F31,filler,filler,filler,filler-31,The receptionist scheduled all the appointments for the following week.,Did the receptionist cancel the appointments?,j
F32,filler,filler,filler,filler-32,The mechanic replaced the brake pads on the old sedan.,Did the mechanic work on a vehicle?,f
F33,filler,filler,filler,filler-33,The student presented her research findings to the entire department.,Did the student share her research?,f
F34,filler,filler,filler,filler-34,The zookeeper fed the penguins fish twice a day.,Did the zookeeper feed the penguins?,f
F35,filler,filler,filler,filler-35,The photographer captured the sunset over the mountains.,Did the photographer take pictures outdoors?,f
F36,filler,filler,filler,filler-36,The surgeon operated on the patient for nearly five hours.,Did the surgeon perform an operation?,f
F37,filler,filler,filler,filler-37,The writer submitted his manuscript to several publishers.,Did the writer give up on publishing his book?,j
F38,filler,filler,filler,filler-38,The letter was signed by the mayor and delivered to the city council.,Was the letter signed by the governor?,j
F39,filler,filler,filler,filler-39,The old bridge was demolished by the construction crew last autumn.,Was the old bridge torn down?,f
F40,filler,filler,filler,filler-40,The trophy was awarded to the winning team at the end of the season.,Was the trophy given to the losing team?,j
F41,filler,filler,filler,filler-41,The report was written by two graduate students over the summer.,Was the report written by students?,f
F42,filler,filler,filler,filler-42,The stolen paintings were recovered by the police after a lengthy investigation.,Were the paintings returned to their owner?,j
F43,filler,filler,filler,filler-43,The new law was passed by the legislature after months of debate.,Was the new law defeated?,j
F44,filler,filler,filler,filler-44,The birthday cake was baked by the children for their mother.,Did the children make a cake?,f
F45,filler,filler,filler,filler-45,The injured hiker was rescued by the mountain patrol team.,Was the hiker rescued?,f
F46,filler,filler,filler,filler-46,The concert tickets were sold out within an hour of going on sale.,Were some tickets still available after an hour?,j
F47,filler,filler,filler,filler-47,The old library was renovated and reopened to the public last spring.,Was the library destroyed?,j
F48,filler,filler,filler,filler-48,The message was translated into three languages by the embassy staff.,Was the message translated?,f
F49,filler,filler,filler,filler-49,The experiment was conducted by the research team over six months.,Did researchers run the experiment?,f
F50,filler,filler,filler,filler-50,The road was blocked by fallen trees after the overnight storm.,Was the road open after the storm?,j
F51,filler,filler,filler,filler-51,The suspects were questioned by detectives for several hours.,Were the suspects interviewed by police?,f
F52,filler,filler,filler,filler-52,The furniture was donated to the shelter by a local business.,Was the furniture donated?,f
F53,filler,filler,filler,filler-53,The speech was delivered by the valedictorian in front of the entire school.,Was the speech given to a small group?,j
F54,filler,filler,filler,filler-54,The ancient manuscript was preserved in a climate-controlled vault.,Was the manuscript thrown away?,j
F55,filler,filler,filler,filler-55,The new policy was announced by the director at the staff meeting.,Was the new policy announced?,f
F56,filler,filler,filler,filler-56,The garden was watered by the caretaker every morning before noon.,Was the garden watered in the evenings?,j
F57,filler,filler,filler,filler-57,The contract was reviewed by the legal team before it was signed.,Was the contract signed without being reviewed?,j
F58,filler,filler,filler,filler-58,The children were picked up from school by their grandmother.,Were the children picked up from school?,f
F59,filler,filler,filler,filler-59,The packages were wrapped and labeled by the volunteers at the charity drive.,Were the packages prepared by volunteers?,f
F60,filler,filler,filler,filler-60,The annual report was presented to the board by the chief executive.,Did the chief executive present the report?,f
F61,filler,filler,filler,filler-61,The samples were collected from the river by environmental scientists.,Were the samples taken from the ocean?,j
F62,filler,filler,filler,filler-62,The award was presented to the novelist at a ceremony in the capital.,Did the novelist receive an award?,f
F63,filler,filler,filler,filler-63,The windows were cleaned by the maintenance staff every other week.,Were the windows cleaned regularly?,f
F64,filler,filler,filler,filler-64,The shipment was delayed by a strike at the distribution center.,Was the shipment delivered on time?,j
F65,filler,filler,filler,filler-65,The poem was read aloud by a student at the graduation ceremony.,Was the poem performed at a graduation?,f
F66,filler,filler,filler,filler-66,The walls were covered in graffiti by an anonymous artist overnight.,Was the graffiti painted during the day?,j
F67,filler,filler,filler,filler-67,The new restaurant was reviewed favorably by the local food critic.,Did the food critic give a negative review?,j
F68,filler,filler,filler,filler-68,The missing child was found safe by the search party near the riverbank.,Was the child found?,f
F69,filler,filler,filler,filler-69,The roof was damaged by heavy hailstones during the afternoon storm.,Was the roof damaged by wind?,j
F70,filler,filler,filler,filler-70,The museum exhibit was visited by thousands of tourists during the summer.,Was the exhibit popular with visitors?,f
F71,filler,filler,filler,filler-71,The broken streetlight was reported by a resident and repaired the next day.,Was the streetlight fixed?,f
F72,filler,filler,filler,filler-72,The award-winning film was screened at the international festival.,Was the film shown at a festival?,f
F73,filler,filler,filler,filler-73,The test results were announced by the professor at the beginning of class.,Were the test results announced at the end of class?,j
F74,filler,filler,filler,filler-74,The marathon route was mapped out by the organizers months in advance.,Did the organizers plan the marathon route?,f
